LA_female,FA_female,publication_month,publication_year,i_covid,n_authors,journal_id,log_altmetric,log_cites,log_twitter_all,log_twitter_scientist,log_twitter_commun,log_twitter_public,log_twitter_pract,log_news,log_policy,log_wiki,log_blogs,gender_combination,gender_combo
0,,1,2015,0,31,CIRCULATION,1.9600948,3.8286414,2.6390574,.69314718,0,2.3025851,.69314718,0,0,0,0,,
0,1,1,2015,0,14,CIRCULATION,2.9231615,3.9702919,2.6390574,.69314718,0,2.4849067,.69314718,.69314718,0,0,0,mixed gender team,mixed gender team
0,,2,2015,0,9,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,4.5350695,5.1179938,2.8903718,1.3862944,0,2.7080503,0,2.4849067,0,0,1.0986123,,
0,1,2,2015,0,18,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,.4054651,3.6109178,.69314718,0,0,.69314718,0,0,0,0,0,mixed gender team,mixed gender team
0,1,2,2015,0,11,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.3013771,4.1271343,3.871201,2.1972246,1.0986123,2.9444389,2.0794415,0,0,0,.69314718,mixed gender team,mixed gender team
0,0,2,2015,0,8,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.2527629,4.1588831,1.3862944,0,0,1.0986123,.69314718,0,0,0,0,men first and last,men first and last
0,0,1,2015,0,8,EUROPEAN HEART JOURNAL,1.6770966,5.1298985,2.1972246,0,.69314718,1.9459101,.69314718,0,0,0,0,men first and last,men first and last
0,,1,2015,0,14,CIRCULATION,1.3862944,4.5643482,0,0,0,0,0,0,0,0,0,,
1,0,1,2015,0,18,CIRCULATION,2.4723279,5.4595857,2.6390574,.69314718,1.0986123,2.3025851,0,0,.69314718,0,0,mixed gender team,mixed gender team
0,0,1,2015,0,14,CIRCULATION,0,6.0234475,0,0,0,0,0,0,0,0,0,men first and last,men first and last
0,0,1,2015,0,26,EUROPEAN HEART JOURNAL,3.0887671,3.7612002,3.6109178,1.0986123,.69314718,3.2580965,1.3862944,0,.69314718,0,0,men first and last,men first and last
0,0,2,2015,0,8,CIRCULATION RESEARCH,.22314355,3.6109178,.69314718,0,0,.69314718,0,0,0,0,0,men first and last,men first and last
0,,2,2015,0,10,CIRCULATION RESEARCH,1.3862944,3.4965076,0,0,0,0,0,0,0,0,0,,
